Date,Open,High,Low,Close
9/17/2018,107990,108010,107990,108010
9/17/2018,108020,108040,107990,108040
9/17/2018,108030,108030,107980,107980
9/17/2018,108000,108010,107980,108000
9/17/2018,108000,108010,107980,108000
9/17/2018,108010,108050,108010,108050
9/17/2018,108050,108070,108040,108040
9/17/2018,108030,108040,108030,108040
9/17/2018,108020,108070,108020,108070
9/17/2018,108080,108100,108040,108040
9/17/2018,108080,108110,108080,108100
9/17/2018,108110,108110,108020,108020
9/17/2018,108020,108030,107970,107980
9/17/2018,108000,108020,108000,108020
9/17/2018,108050,108060,108050,108060
9/17/2018,108020,108020,108010,108010
9/17/2018,108000,108010,107970,107980
9/17/2018,108010,108020,108000,108020
9/17/2018,108010,108010,107980,107980
9/17/2018,107970,108010,107970,108010
9/17/2018,108020,108030,108000,108000
9/17/2018,108020,108020,108000,108000
9/17/2018,108020,108050,108000,108050
9/17/2018,108050,108070,108050,108060
9/17/2018,108020,108050,108010,108010
9/17/2018,108030,108050,108030,108050
9/17/2018,108020,108040,108020,108040
9/17/2018,108040,108050,108040,108050
9/17/2018,108050,108070,108030,108070
9/17/2018,108040,108070,108040,108070
9/17/2018,108050,108050,108010,108010
9/17/2018,108030,108030,108030,108030
9/17/2018,108020,108040,108020,108040
9/17/2018,108070,108100,108070,108100
9/17/2018,108090,108210,108090,108150
9/17/2018,108130,108130,108060,108080
9/17/2018,108080,108080,108040,108040
9/17/2018,108110,108110,108070,108100
9/17/2018,108050,108050,108000,108000
9/17/2018,108000,108010,107990,108010
9/17/2018,108020,108070,108020,108040
9/17/2018,108040,108130,108040,108130
9/17/2018,108150,108150,108110,108110
9/17/2018,108110,108160,108110,108110
9/17/2018,108130,108140,108090,108090
9/17/2018,108100,108130,108090,108090
9/17/2018,108100,108100,108080,108080
9/17/2018,108050,108060,108050,108050
9/17/2018,108090,108100,108090,108100
9/17/2018,108100,108110,108090,108090
9/17/2018,108060,108060,108060,108060
9/17/2018,108030,108030,108000,108030
9/17/2018,108030,108050,108030,108040
9/17/2018,108040,108050,108040,108050
9/17/2018,108060,108070,108060,108060
9/17/2018,108050,108050,108050,108050
9/17/2018,108040,108050,108030,108040
9/17/2018,108060,108060,108060,108060
9/17/2018,108070,108080,108040,108050
9/17/2018,108090,108090,108090,108090
9/17/2018,108080,108110,108080,108110
9/17/2018,108120,108120,108120,108120
9/17/2018,108110,108110,108090,108090
9/17/2018,108080,108080,108080,108080
9/17/2018,108060,108060,108060,108060
9/17/2018,108050,108070,108050,108070
9/17/2018,108060,108150,108060,108120
9/17/2018,108140,108140,108110,108120
9/17/2018,108090,108090,108050,108050
9/17/2018,108060,108060,108060,108060
9/17/2018,108110,108110,108080,108080
9/17/2018,108060,108060,108060,108060
9/17/2018,108060,108120,108060,108120
9/17/2018,108120,108140,108110,108140
9/17/2018,108120,108120,108100,108100
9/17/2018,108110,108110,108100,108100
9/17/2018,108090,108140,108090,108140
9/17/2018,108120,108150,108120,108130
9/17/2018,108160,108330,108150,108330
9/17/2018,108330,108330,108270,108270
9/17/2018,108260,108280,108250,108260
9/17/2018,108250,108270,108230,108270
9/17/2018,108270,108270,108240,108240
9/17/2018,108280,108310,108270,108270
9/17/2018,108260,108270,108260,108260
9/17/2018,108270,108300,108270,108300
9/17/2018,108290,108300,108270,108290
9/17/2018,108310,108330,108240,108240
9/17/2018,108240,108240,108190,108190
9/17/2018,108170,108180,108170,108170
9/17/2018,108140,108170,108140,108170
9/17/2018,108160,108160,108160,108160
9/17/2018,108150,108180,108150,108160
9/17/2018,108160,108180,108160,108180
9/17/2018,108150,108160,108130,108160
9/17/2018,108160,108160,108160,108160
9/17/2018,108140,108160,108130,108160
9/17/2018,108160,108200,108160,108200
9/17/2018,108230,108240,108200,108200
9/17/2018,108230,108240,108140,108140
9/17/2018,108180,108180,108140,108140
9/17/2018,108130,108130,108130,108130
9/17/2018,108120,108140,108110,108140
9/17/2018,108150,108200,108150,108200
9/17/2018,108220,108220,108160,108190
9/17/2018,108200,108260,108200,108220
9/17/2018,108190,108190,108170,108170
9/17/2018,108130,108150,108080,108110
9/17/2018,108110,108130,108100,108120
9/17/2018,108110,108160,108100,108120
9/17/2018,108110,108160,108110,108160
9/17/2018,108160,108160,108130,108140
9/17/2018,108130,108130,108130,108130
9/17/2018,108140,108140,108140,108140
9/17/2018,108140,108160,108100,108100
9/17/2018,108100,108100,108100,108100
9/17/2018,108100,108120,108090,108120
9/17/2018,108130,108130,108130,108130
9/17/2018,108160,108160,108140,108140
9/17/2018,108130,108140,108100,108100
9/17/2018,108140,108150,108120,108120
9/17/2018,108160,108160,108110,108120
9/17/2018,108100,108120,108100,108120
9/17/2018,108110,108160,108110,108160
9/17/2018,108160,108190,108160,108180
9/17/2018,108180,108200,108150,108200
9/17/2018,108190,108210,108190,108210
9/17/2018,108210,108210,108170,108200
9/17/2018,108180,108180,108150,108150
9/17/2018,108170,108200,108170,108200
9/17/2018,108200,108210,108180,108180
9/17/2018,108190,108200,108170,108190
9/17/2018,108200,108270,108200,108220
9/17/2018,108200,108200,108170,108180
9/17/2018,108180,108180,108160,108160
9/17/2018,108190,108190,108190,108190
9/17/2018,108200,108220,108170,108190
9/17/2018,108200,108200,108200,108200
9/17/2018,108190,108190,108150,108150
9/17/2018,108150,108150,108130,108130
9/17/2018,108130,108130,108110,108120
9/17/2018,108120,108120,108120,108120
9/17/2018,108170,108180,108170,108180
9/17/2018,108170,108170,108150,108150
9/17/2018,108160,108230,108160,108220
9/17/2018,108240,108290,108240,108290
9/17/2018,108280,108290,108270,108270
9/17/2018,108290,108290,108270,108270
9/17/2018,108270,108270,108270,108270
9/17/2018,108270,108280,108240,108240
9/17/2018,108270,108270,108220,108250
9/17/2018,108220,108240,108210,108240
9/17/2018,108240,108240,108240,108240
9/17/2018,108250,108270,108250,108250
9/17/2018,108250,108250,108220,108220
9/17/2018,108210,108240,108210,108240
9/17/2018,108250,108250,108240,108250
9/17/2018,108260,108280,108250,108270
9/17/2018,108270,108310,108270,108300
9/17/2018,108250,108320,108250,108320
9/17/2018,108300,108380,108300,108340
9/17/2018,108320,108340,108320,108340
9/17/2018,108340,108380,108340,108370
9/17/2018,108370,108440,108370,108440
9/17/2018,108430,108450,108390,108390
9/17/2018,108390,108420,108390,108400
9/17/2018,108410,108410,108350,108390
9/17/2018,108370,108380,108370,108370
9/17/2018,108360,108360,108340,108360
9/17/2018,108360,108360,108350,108350
9/17/2018,108340,108340,108280,108280
9/17/2018,108260,108270,108230,108250
9/17/2018,108260,108290,108250,108270
9/17/2018,108290,108300,108280,108280
9/17/2018,108280,108330,108280,108330
9/17/2018,108360,108370,108300,108300
9/17/2018,108310,108330,108310,108320
9/17/2018,108320,108320,108290,108290
9/17/2018,108280,108300,108270,108300
9/17/2018,108290,108300,108270,108280
9/17/2018,108320,108430,108320,108430
9/17/2018,108420,108420,108360,108360
9/17/2018,108360,108400,108360,108360
9/17/2018,108360,108370,108330,108330
